item_id,L1,GLMM_score,joined_text
1,cn,-2.741182607,持续时间段 [SEP] 智能手机使人的注意力集中时间越来越短。 [SEP] s___ [SEP] span
2,cn,-1.337120226,彻底地 [SEP] 我们应当彻底改变只顾经济发展的思路，以保护日渐脆弱的环境。 [SEP] r________ [SEP] radically
3,cn,2.212272322,超市 [SEP] 许多人选择去超市采购水果蔬菜。 [SEP] s__________ [SEP] supermarket
4,cn,0.813175169,飞机 [SEP] 一架飞机在比利牛斯山坠毁。 [SEP] a_______ [SEP] airplane
5,cn,-4.992503668,难熬的 [SEP] 等待实验结果的过程往往很难熬。 [SEP] t_____ [SEP] trying
6,cn,-0.322540318,赛车 [SEP] 我喜欢车，但我不喜欢赛车运动。 [SEP] r_____ [SEP] racing
7,cn,3.331054089,睡觉 [SEP] 我每晚10点睡觉。 [SEP] s____ [SEP] sleep
8,cn,0.095214066,军方 [SEP] 据称军方已经做好战争准备。 [SEP] m_______ [SEP] military
9,cn,-0.807598507,容纳限度 [SEP] 电梯的容纳限度是十人。 [SEP] c_______ [SEP] capacity
10,cn,-1.361237522,茎 [SEP] 这类糖是从甘蔗中提取的。 [SEP] c___ [SEP] cane
11,cn,2.647021912,敲 [SEP] 有人敲门。 [SEP] k____ [SEP] knock
12,cn,-1.012531669,走廊 [SEP] 我在走廊上撞见了经理。 [SEP] h______ [SEP] hallway
13,cn,0.090277485,被展示的 [SEP] 1)我们盯着屏幕上显示的图像。2)这些被展示的物品来自英国。 [SEP] d________ [SEP] displayed
14,cn,0.174584565,有挑战性的 [SEP] 我厌烦了机械重复的工作，希望换一份更有挑战性的工作。 [SEP] c__________ [SEP] challenging
15,cn,-1.60165159,传教士 [SEP] 一些传教士为近代中国的教育发展做出了贡献。 [SEP] m_________ [SEP] missionary
16,cn,3.223981903,高的 [SEP] 她的男友很高，在人群里很显眼。 [SEP] t___ [SEP] tall
17,cn,0.66393483,褪色 [SEP] 窗边的照片渐渐褪色了。 [SEP] f___ [SEP] fade
18,cn,2.013674108,街 [SEP] 她听到街上的叫喊声。 [SEP] s_____ [SEP] street
19,cn,-0.52469371,手腕 [SEP] 她的腕上有一只小巧的金表。 [SEP] w____ [SEP] wrist
20,cn,1.485755402,现在的 [SEP] 现在的房主几年前就买下了这栋房子。 [SEP] p______ [SEP] present
21,cn,-2.27696682,垒球 [SEP] 他们喜欢打垒球。 [SEP] s_______ [SEP] softball
22,cn,2.811010039,坐 [SEP] “请坐下”，他说。 [SEP] s__ [SEP] sit
23,cn,-2.544654134,立场 [SEP] 她坚定地陈述了继续接收移民的立场。 [SEP] s_____ [SEP] stance
24,cn,-0.69784801,宗教的 [SEP] 请尊重我的宗教信仰。 [SEP] r________ [SEP] religious
25,cn,1.479236033,震惊 [SEP] 所有人都被她突然的消瘦震惊了。 [SEP] s____ [SEP] shock
26,cn,1.216241401,参加 [SEP] 我参加了昨天的会议。 [SEP] a_____ [SEP] attend
27,cn,-1.162582531,专家小组 [SEP] 面试的专家小组由8位教授组成。 [SEP] p____ [SEP] panel
28,cn,0.316846142,片 [SEP] 他端上一片面包和一个煎蛋。 [SEP] s____ [SEP] slice
29,cn,-0.724083017,精子 [SEP] 医生说他的精子活力较差。 [SEP] s____ [SEP] sperm
30,cn,-1.691300464,越南的 [SEP] 美军与北越南军队交战。 [SEP] v_________ [SEP] vietnamese
31,cn,-2.322540238,杀人的 [SEP] 是什么诱发了他杀人的举动？ [SEP] m________ [SEP] murdering
32,cn,2.344811046,微笑 [SEP] 她的微笑让我放下心来。 [SEP] s____ [SEP] smile
33,cn,-3.010376821,炫目的 [SEP] 爆炸发出巨大声响和刺目的亮光。 [SEP] b_______ [SEP] blinding
34,cn,-0.894849368,出色的 [SEP] 她有出色的记忆力。 [SEP] r_________ [SEP] remarkable
35,cn,0.852738892,图表 [SEP] 下面的饼状图表直观展示了各洲贫困人口的分布。 [SEP] c____ [SEP] chart
36,cn,-2.677989764,毛衣 [SEP] 她穿了一件白色的套头毛衣。 [SEP] j_____ [SEP] jumper
37,cn,1.842217255,提醒 [SEP] 他提醒了我明天要开会。 [SEP] r_____ [SEP] remind
38,cn,-0.088332707,胡说 [SEP] 别信她那些胡说八道。 [SEP] n_______ [SEP] nonsense
39,cn,-2.899932992,绝色的 [SEP] 1)你穿这件晚礼服美呆了。2)山顶看到的日出景色美极了。 [SEP] s_______ [SEP] stunning
40,cn,3.370929857,茶 [SEP] “你要咖啡还是茶？”“茶，谢谢。” [SEP] t__ [SEP] tea
41,cn,-1.776284494,当家 [SEP] 女主人很会当家，为家庭省下不少开支。 [SEP] h___________ [SEP] housekeeping
42,cn,0.040623734,市长 [SEP] 市长为他颁发了证书。 [SEP] m____ [SEP] mayor
43,cn,1.52073452,乡下 [SEP] 他们周末驾车去乡下探望家人。 [SEP] c__________ [SEP] countryside
44,cn,0.267375565,打火机 [SEP] 您能借我打火机一用吗？ [SEP] l______ [SEP] lighter
45,cn,1.367212021,戏剧 [SEP] 他是一名戏剧专业的学生。 [SEP] d____ [SEP] drama
46,cn,2.322637044,推 [SEP] 他推了几下，但门没有开。 [SEP] p___ [SEP] push
47,cn,-3.508860173,没有魅力的 [SEP] 科学研究的工作清贫、枯燥、毫无魅力：你还愿意走这条路吗？ [SEP] u__________ [SEP] unglamorous
48,cn,-2.03504668,细微的 [SEP] 我察觉他表情有些细微的变化。 [SEP] s_____ [SEP] subtle
49,cn,-0.484068772,茎 [SEP] 月季茎上有刺。 [SEP] s___ [SEP] stem
50,cn,0.769820505,声称 [SEP] 他声称是这位演员的前夫。 [SEP] c____ [SEP] claim
51,cn,-2.390237921,吸引人的 [SEP] 这盘烤肉看着十分诱人。 [SEP] i_______ [SEP] inviting
52,cn,-0.17570247,在（火车，飞机，船）上 [SEP] 登机/上船的时间到了。 [SEP] a_____ [SEP] aboard
53,cn,2.094986428,小心地 [SEP] 这个问题会考到，请大家仔细听。 [SEP] c________ [SEP] carefully
54,cn,-1.453696811,分开 [SEP] 1)请先把肉和骨头分开。2)公路把校园分隔成两个部分。 [SEP] s_______ [SEP] separate
55,cn,-1.117549773,宿醉 [SEP] 我因为宿醉而头疼。 [SEP] h_______ [SEP] hangover
56,cn,-0.763920937,代表 [SEP] 会议中各国代表纷纷发言。 [SEP] d_______ [SEP] delegate
57,cn,2.585285622,锁 [SEP] 旅行箱配有一把锁。 [SEP] l___ [SEP] lock
58,cn,2.235294555,每 [SEP] 每个孩子都值得爱。 [SEP] e____ [SEP] every
59,cn,-2.337616433,恐怖主义的 [SEP] 巴黎一餐厅发生恐怖主义袭击。 [SEP] t________ [SEP] terrorist
60,cn,1.426394749,想知道 [SEP] 1)我想知道他为什么要骗你。2)我寻思会不会有危险。 [SEP] w_____ [SEP] wonder
61,cn,-2.258780005,高度敏感的 [SEP] 她对批评非常敏感，根本说不得。 [SEP] h_____________ [SEP] hypersensitive
62,cn,1.190712569,掉下 [SEP] 1)屋檐滴着水。2)我的手机从桌子上掉下来。 [SEP] d___ [SEP] drop
63,cn,0.836625916,注意 [SEP] 我没有注意两者之间的不同。 [SEP] n___ [SEP] note
64,cn,3.121744786,天 [SEP] 天是蓝的。 [SEP] s__ [SEP] sky
65,cn,-0.189400751,叹息 [SEP] “我不喜欢这份工作“，她带着叹息说。 [SEP] s___ [SEP] sigh
66,cn,0.466926978,害怕的 [SEP] 1)我很害怕蛇。2)她怕孩子不会回来了。 [SEP] s_____ [SEP] scared
67,cn,-0.090605494,在世界范围内 [SEP] 我们可以在世界范围内与对手竞争。 [SEP] g_______ [SEP] globally
68,cn,-1.056507505,精选的 [SEP] 只有一些最优秀的学生能进入顶级大学的研究生院。 [SEP] s_____ [SEP] select
69,cn,0.591317806,罗马的 [SEP] 她欣赏着这些古罗马雕塑。 [SEP] r____ [SEP] roman
70,cn,-0.853386201,种族的 [SEP] 我们反对种族歧视。 [SEP] r_____ [SEP] racial
71,cn,-1.837493349,震动按摩器 [SEP] 这款震动按摩器拯救了他的婚姻。 [SEP] v_______ [SEP] vibrator
72,cn,1.791839041,聪明的 [SEP] 老师夸他很聪明。 [SEP] c_____ [SEP] clever
73,cn,-2.174895392,前景 [SEP] 1)他有一个积极的人生观。2)学校发展的前景很好。 [SEP] o______ [SEP] outlook
74,cn,2.522221818,学习 [SEP] 我喜欢学习数学。 [SEP] s____ [SEP] study
75,cn,-2.722243971,持续的 [SEP] 印度的人口还在保持持续的增长。 [SEP] c_________ [SEP] continuing
76,cn,-1.521178087,收缩 [SEP] 1)市场的低迷让我们不得不紧缩开支。2)他的胃部因疼痛缩成一团。 [SEP] c_______ [SEP] contract
77,cn,-3.656650216,有挑逗意味的 [SEP] 她发的许多照片都具有挑逗意味。 [SEP] s_________ [SEP] suggestive
78,cn,1.953089185,厨房 [SEP] 父亲在厨房做饭。 [SEP] k______ [SEP] kitchen
79,cn,1.042641119,历史的 [SEP] 历史证据表明这里曾是一片水域。 [SEP] h_________ [SEP] historical
80,cn,0.230607813,颠倒 [SEP] 1)政府希望扭转市场的颓势。2)现在你结婚了我却离婚了——我们的情况颠倒过来了。 [SEP] r______ [SEP] reverse
81,cn,-0.211620828,生产 [SEP] 这家公司生产玩具。 [SEP] m__________ [SEP] manufacture
