item_id,L1,GLMM_score,joined_text
1,es,-3.264098675,lapso [SEP] El eclipse solar fue visible durante un breve lapso de tiempo. [SEP] s___ [SEP] span
2,es,-1.871782482,fundamentalmente [SEP] Los métodos nuevos son fundamentalmente diferentes a los antiguos. [SEP] r________ [SEP] radically
3,es,2.733108688,supermercado [SEP] Vamos al supermercado y compramos todo lo que necesitamos durante un mes. [SEP] s__________ [SEP] supermarket
4,es,0.054736761,avión [SEP] El avión despegó tres horas tarde. [SEP] a_______ [SEP] airplane
5,es,-4.086776336,"difícil [SEP] Es un tiempo muy difícil, sin ninguna duda. [SEP] t_____ [SEP] trying"
6,es,-0.071781525,carreras [SEP] ¿Te puedes creer que se ha comprado un coche de carreras? [SEP] r_____ [SEP] racing
7,es,3.682799998,dormir [SEP] Es importante dormir bien si estás enfermo. [SEP] s____ [SEP] sleep
8,es,-0.086130207,ejército [SEP] El ejército no parecía nada contento con los cambios políticos que se habían producido. [SEP] m_______ [SEP] military
9,es,-1.726755593,cabida [SEP] La sala da cabida a dos mil personas. [SEP] c_______ [SEP] capacity
10,es,-0.837535429,bastón [SEP] Siempre veras a mi abuelo caminando con su bastón [SEP] c___ [SEP] cane
11,es,1.310178301,tocar [SEP] De repente oímos a alguien tocaba en la ventana. [SEP] k____ [SEP] knock
12,es,-2.641865975,salón [SEP] Pablo te está esperando en el pequeño salón de casa. [SEP] h______ [SEP] hallway
13,es,-0.756194133,expuesto [SEP] El vestido de novia expuesto en el escaparate era justo el que quería. [SEP] d________ [SEP] displayed
14,es,0.049204583,desafiante [SEP] La maratón es algo desafiante y sé que lograré acabarla a tiempo [SEP] c__________ [SEP] challenging
15,es,-2.800754376,predicador [SEP] Hace tiempo las iglesias enviaban un predicador para convertir a la población a su religión. [SEP] m_________ [SEP] missionary
16,es,2.933357109,alto [SEP] Mi hermano es mucho más alto que yo. [SEP] t___ [SEP] tall
17,es,-1.008161484,"desteñirse [SEP] Cuidado con esos colores fuertes, tienden a desteñirse al lavarlos. [SEP] f___ [SEP] fade"
18,es,3.10124216,calle [SEP] Siga por esta calle y después coja la primera a la izquierda. [SEP] s_____ [SEP] street
19,es,0.46347056,muñeca [SEP] Ella se puso la pulsera en la muñeca izquierda. [SEP] w____ [SEP] wrist
20,es,0.303316021,actual [SEP] La propuesta actual es mejor que la anterior. [SEP] p______ [SEP] present
21,es,1.343505823,softball [SEP] Jugaba softball en la universidad y era bastante buena [SEP] s_______ [SEP] softball
22,es,2.764279959,sentarse [SEP] El anfitrión convidó a sus invitados a sentarse a la mesa. [SEP] s__ [SEP] sit
23,es,-2.69899709,postura [SEP] El presidente tiene una postura clara sobre el tema. [SEP] s_____ [SEP] stance
24,es,1.493624216,"religioso [SEP] Lleva una vida religiosa, va a misa todos los días y reza mucho. [SEP] r________ [SEP] religious"
25,es,-1.183915521,conmocionar [SEP] La artista intentará conmocionar al público con su estilo provocativo. [SEP] s____ [SEP] shock
26,es,-0.837047643,asistir [SEP] ¿Vas a asistir a la boda de Isabel? [SEP] a_____ [SEP] attend
27,es,0.181859464,tablero [SEP] Los tableros solares que se pusieron en el techo deben ser revisados mensualmente [SEP] p____ [SEP] panel
28,es,0.169952677,"rebanada [SEP] ¿Quieres una rabanada de pan, o dos? [SEP] s____ [SEP] slice"
29,es,1.002699483,espermatozoide [SEP] Para procrear es necesario un óvulo y un espermatozoide [SEP] s____ [SEP] sperm
30,es,-0.780290806,de [SEP] Ví una película de Vietnam el otro día y me encantó. [SEP] v_________ [SEP] vietnamese
31,es,-2.058731555,asesino [SEP] El instinito asesino de los terroristas es espantoso. [SEP] m________ [SEP] murdering
32,es,2.264398255,sonrisa [SEP] La sonrisa del niño refleja su temperamento alegre. [SEP] s____ [SEP] smile
33,es,-0.501947669,cegadora [SEP] De repente se encendió una luz cegadora y no veíamos nada. [SEP] b_______ [SEP] blinding
34,es,-0.982438637,destacable [SEP] Mi hijo tiene un talento destacable para las matemáticas. [SEP] r_________ [SEP] remarkable
35,es,-0.169835057,gráfico [SEP] Este gráfico muestra las temperaturas de todo el año en la zona. [SEP] c____ [SEP] chart
36,es,-1.951160685,jersey [SEP] Me voy a comprar un jersey rojo de lana. [SEP] j_____ [SEP] jumper
37,es,-0.294589386,recordar [SEP] Tuve que recordar a la profesora que teníamos ensayo después de clase. [SEP] r_____ [SEP] remind
38,es,-0.21216982,tonterías [SEP] Esos rumores son tonterías y no me creo nada. [SEP] n_______ [SEP] nonsense
39,es,-1.422985739,impresionante [SEP] La vista desde las montañas es absolutamente impresionante. [SEP] s_______ [SEP] stunning
40,es,2.448579948,té [SEP] Me gusta tomarme un par de tazas de té por la mañana. [SEP] t__ [SEP] tea
41,es,-2.33323631,gestión [SEP] Mis problemas fueron excaerbados por mi mala gestión del hogar. [SEP] h___________ [SEP] housekeeping
42,es,-0.036468134,alcalde [SEP] El alcalde de Linares es primo de mi padre. [SEP] m____ [SEP] mayor
43,es,1.009297748,campo [SEP] Vivimos en el campo desde hace veinte años. [SEP] c__________ [SEP] countryside
44,es,1.208429874,encendedor [SEP] ¿Tienes un encendedor? Quiero fumar y no tengo fuego. [SEP] l______ [SEP] lighter
45,es,0.775809908,"teatro [SEP] Estudió teatro en la mejor escuela de ate dramático de la ciudad, ahora es un famoso actor a nivel mundial [SEP] d____ [SEP] drama"
46,es,2.293065389,empujar [SEP] ¿Me ayudas a empujar el coche? La batería se ha agotado. [SEP] p___ [SEP] push
47,es,-1.395004616,sin [SEP] La actriz uso un vestigo sin glamour para la ceremonia y fue duramente criticada. [SEP] u__________ [SEP] unglamorous
48,es,-2.385531556,delicado [SEP] Bebí un vino con un delicado carácter a roble. [SEP] s_____ [SEP] subtle
49,es,-1.197849876,tallo [SEP] Esta flor tiene un tallo corto. [SEP] s___ [SEP] stem
50,es,-1.871635119,afirmar [SEP] No voy a afirmar que es la mejor ciudad del mundo pero es muy bonita. [SEP] c____ [SEP] claim
51,es,-3.277554881,atractiva [SEP] Fue una sugerencia muy atractiva para mí. [SEP] i_______ [SEP] inviting
52,es,0.864127274,abordo [SEP] ¿Tu padre está abordo del barco ya? Entonces zarpamos. [SEP] a_____ [SEP] aboard
53,es,1.918608165,cuidadosamente [SEP] Abrió la caja muy cuidadosamente y vio que contenía un jarrón muy delicado. [SEP] c________ [SEP] carefully
54,es,-0.215249745,dividir [SEP] La profesora suele dividir a los alumnos en dos equipos. [SEP] s_______ [SEP] separate
55,es,-0.182415434,resaca [SEP] Tiene una resaca horrible después de beber demasiado vino en la cena de ayer. [SEP] h_______ [SEP] hangover
56,es,-2.034213673,representante [SEP] El representante enviado por la compañía fue de gran ayuda. [SEP] d_______ [SEP] delegate
57,es,1.044429061,cerradura [SEP] La llave maestra nos abrirá la cerradura. [SEP] l___ [SEP] lock
58,es,0.983870783,cada [SEP] Los niños descubren algo nuevo cada día. [SEP] e____ [SEP] every
59,es,-1.369881971,terrorista [SEP] La acción de violencia política ha cesado gracias al acuerdo. [SEP] t________ [SEP] terrorist
60,es,1.523509649,maravillarse [SEP] No tuvieron más más remedio que maravillarse de la belleza de las estrellas. [SEP] w_____ [SEP] wonder
61,es,-1.153702462,hipersensible [SEP] Es hipersensible a algunos medicamentos por eso debe ser cuidadoso con su salud [SEP] h_____________ [SEP] hypersensitive
62,es,0.461097397,dejar [SEP] Ten cuidado de no dejar caer la copa al suelo. [SEP] d___ [SEP] drop
63,es,-0.381883882,señalar [SEP] Señalar la importancia de trabajar bien en equipo es cosa de buenos jefes. [SEP] n___ [SEP] note
64,es,2.741506428,cielo [SEP] El cielo está muy despejado hoy. [SEP] s__ [SEP] sky
65,es,-0.386929922,suspiro [SEP] Soltó un suspiro y se levantó del sillón. [SEP] s___ [SEP] sigh
66,es,1.001782057,asustado [SEP] El niño estaba asustado tras escuchar los cuentos de fantasmas. [SEP] s_____ [SEP] scared
67,es,0.393861492,a [SEP] Es una cantante muy conocida a nivel mundial. [SEP] g_______ [SEP] globally
68,es,-0.670592659,exclusivo [SEP] Un grupo exclusivo de estudiantes recibirá una beca. [SEP] s_____ [SEP] select
69,es,2.857756826,romano [SEP] El emperador romano entregó a Barrabás a cambio de Jesús [SEP] r____ [SEP] roman
70,es,-1.003753842,étnica [SEP] Han jurado acabar con la discriminación étnica de una vez por todas. [SEP] r_____ [SEP] racial
71,es,1.736286015,vibrador [SEP] Decidieron comprar un vibrador para intentar mejorar su placer sexual. [SEP] v_______ [SEP] vibrator
72,es,1.198323849,listo [SEP] Tu perro es muy listo.  Parece entender todo lo que le dices. [SEP] c_____ [SEP] clever
73,es,-2.96343379,perspectiva [SEP] Mi hermano tiene una perspectiva muy positiva de la vida [SEP] o______ [SEP] outlook
74,es,0.470926673,educarse [SEP] Mi padre siempre quiso educarse en una universidad de España. [SEP] s____ [SEP] study
75,es,-3.737334371,persistente [SEP] Siguieron con las negociaciones a pesar del conflicto persistente. [SEP] c_________ [SEP] continuing
76,es,-1.94467681,encoger [SEP] El acero suele encoger cuando se enfría. [SEP] c_______ [SEP] contract
77,es,-2.308538313,insinuante [SEP] Siempre se viste de una forma un poco insinuante. [SEP] s_________ [SEP] suggestive
78,es,3.401814678,cocina [SEP] El piso tiene una cocina muy moderna. [SEP] k______ [SEP] kitchen
79,es,1.055442546,histórico [SEP] Los registros históricos que se encuentran en este museo datan de la época de la conquista [SEP] h_________ [SEP] historical
80,es,-1.46747467,invertir [SEP] El gobierno ha intentado invertir el declive económico. [SEP] r______ [SEP] reverse
81,es,0.818966439,fabricar [SEP] Vamos a fabricar piezas de bicicletas para una empresa grande. [SEP] m__________ [SEP] manufacture
82,es,-2.692319702,anticuada [SEP] Es una opinion anticuada pero que la tiene mucha gente. [SEP] u____________ [SEP] unfashionable
83,es,0.588386368,cortina [SEP] He puesto una cortina muy bonita en la ventana de la entrada.  ¿Te gusta? [SEP] c______ [SEP] curtain
84,es,-2.156203703,transformador [SEP] Espero que haya un transformador en la habitación porque aquí no nos valen los teléfonos. [SEP] c________ [SEP] converter
